"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","temp_annual_range","terrain_slope","tree_cover","wet_index","X","Y","k"
2060.6005859375,28,18,2817,38,56,32,17.5278968811035,10,90,92,34.6526532858546,0.981868385433562,293
1552.9150390625,25,20,2836,47,54,35,17.3523197174072,6,50,89,34.5005699527646,0.979785052103562,391
1583.14086914062,25,19,2943,55,55,34,17.415922164917,14,95,81,34.5214032860646,0.979785052103562,390
1680.65441894531,22,19,2989,46,54,36,17.4500122070312,8,54,84,34.5401532860346,0.979785052103562,412
1758.50805664062,21,20,3081,29,56,36,17.4702224731445,8,42,83,34.5484866193546,0.979785052103562,385
1990.36706542969,26,19,2908,41,54,33,17.5247745513916,7,14,93,34.6276532858946,0.979785052103562,300
2098.30981445312,34,17,2692,45,55,29,17.5381908416748,14,65,93,34.6964032857845,0.979785052103562,324
2099.76098632812,36,17,2629,34,55,28,17.5361099243164,10,94,91,34.7026532857745,0.979785052103562,316
2099.76098632812,36,17,2629,34,55,28,17.5361099243164,10,94,91,34.7089032857645,0.979785052103562,334
1874.90393066406,22,20,3065,20,57,35,17.4841747283936,4,28,88,34.5547366193446,0.977701718773562,386
1925.81640625,23,19,3079,23,58,34,17.4957847595215,14,51,82,34.5714032859846,0.977701718773562,424
1935.013671875,24,19,2991,29,55,33,17.5080337524414,16,91,93,34.5984866192746,0.977701718773562,312
2052.76000976562,27,18,2926,37,54,33,17.5321235656738,8,56,96,34.6359866192146,0.977701718773562,368
2074.43090820312,31,18,2753,31,55,32,17.5291576385498,13,93,90,34.6818199524745,0.977701718773562,324
1610.55419921875,25,20,2683,59,54,37,17.3130321502686,21,72,87,34.4901532861146,0.975618385443562,445
1535.77294921875,25,20,2698,61,53,35,17.3384876251221,12,74,87,34.5026532860946,0.975618385443562,399
1672.84973144531,23,19,2826,52,52,35,17.4148464202881,32,94,82,34.5401532860346,0.975618385443562,411
1867.86682128906,22,20,3023,23,54,35,17.4590797424316,8,45,86,34.5547366193446,0.975618385443562,395
1975.28869628906,24,19,2932,31,55,34,17.4973373413086,16,73,89,34.6026532859346,0.975618385443562,305
1895.56384277344,26,19,2810,30,53,33,17.4890289306641,16,98,91,34.6151532859146,0.975618385443562,308
1764.35119628906,24,19,2886,37,53,34,17.466646194458,15,88,81,34.5880699526246,0.973535052113563,328
1919.10217285156,24,19,2993,32,55,34,17.492712020874,9,64,87,34.5964032859446,0.973535052113563,323
1672.84973144531,23,19,2826,52,52,35,17.4148464202881,32,94,82,34.5401532860346,0.971451718783563,363
1741.51379394531,21,20,2985,34,53,34,17.4384346008301,19,93,84,34.5443199526946,0.971451718783563,360
1967.79260253906,27,19,2896,34,53,33,17.5137805938721,5,12,93,34.6297366192246,0.971451718783563,302
1967.79260253906,27,19,2896,34,53,33,17.5137805938721,5,12,93,34.6339032858846,0.971451718783563,303
2088.81689453125,29,18,2827,25,54,32,17.5228538513184,2,60,93,34.6589032858446,0.971451718783563,311
2085.51123046875,31,18,2786,25,54,31,17.52370262146,5,97,97,34.6651532858346,0.971451718783563,304
2091.92602539062,37,16,2640,38,55,27,17.5319595336914,6,97,94,34.7047366191045,0.971451718783563,299
1555.61743164062,25,20,2761,59,54,36,17.3261299133301,13,90,88,34.4964032861046,0.969368385453563,540
1741.51379394531,21,20,2985,34,53,34,17.4384346008301,19,93,84,34.5484866193546,0.969368385453563,393
1871.62280273438,23,19,2970,39,54,34,17.46484375,23,61,75,34.5734866193146,0.969368385453563,343
2088.81689453125,29,18,2827,25,54,32,17.5228538513184,2,60,93,34.6568199525146,0.969368385453563,309
2085.51123046875,31,18,2786,25,54,31,17.52370262146,5,97,97,34.6609866191746,0.969368385453563,319
2086.11010742188,34,17,2671,39,55,29,17.5295753479004,7,57,91,34.6984866191145,0.969368385453563,322
1587.87646484375,26,20,2762,52,52,34,17.3252449035645,20,83,87,34.5068199527546,0.967285052123563,428
1676.76831054688,26,20,2859,56,51,34,17.3710880279541,16,98,82,34.5255699527246,0.967285052123563,398
1835.26635742188,23,20,2913,26,53,35,17.4269199371338,10,65,84,34.5568199526746,0.967285052123563,375
1701.13513183594,24,19,2850,38,53,35,17.4458236694336,16,97,82,34.5922366192846,0.967285052123563,313
2064.09106445312,29,19,2883,37,54,32,17.514669418335,4,77,95,34.6359866192146,0.967285052123563,335
2101.51025390625,31,18,2786,40,54,31,17.519437789917,2,47,91,34.6568199525146,0.967285052123563,290
2104.40478515625,31,18,2739,36,55,31,17.5201892852783,8,94,94,34.6734866191546,0.967285052123563,291
2079.080078125,32,18,2603,45,56,31,17.5125045776367,16,67,92,34.6922366191245,0.967285052123563,311
1599.14013671875,25,20,2697,51,52,36,17.2901210784912,22,91,87,34.4922366194446,0.965201718793563,436
1672.046875,25,20,2876,49,51,34,17.3802070617676,21,92,77,34.5339032860446,0.965201718793563,386
1672.046875,25,20,2876,49,51,34,17.3802070617676,21,92,77,34.5339032860446,0.963118385463563,403
