X,Y,k,layer,path
34.6130699525846,0.994368385413562,355.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6526532858546,0.994368385413562,304.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6609866191746,0.994368385413562,318.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6943199524545,0.994368385413562,310.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4964032861046,0.992285052083562,447.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5422366193646,0.992285052083562,396.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5526532860146,0.992285052083562,413.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5547366193446,0.992285052083562,406.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5755699526446,0.992285052083562,391.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5776532859746,0.992285052083562,423.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6026532859346,0.992285052083562,345.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6109866192546,0.992285052083562,338.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6901532857945,0.992285052083562,308.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4922366194446,0.990201718753562,411.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5839032859646,0.990201718753562,400.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6297366192246,0.990201718753562,339.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6922366191245,0.990201718753562,305.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5026532860946,0.988118385423562,379.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5818199526346,0.988118385423562,394.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5068199527546,0.986035052093562,389.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5089032860846,0.986035052093562,375.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5568199526746,0.986035052093562,386.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6276532858946,0.986035052093562,306.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6693199524946,0.986035052093562,324.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5547366193446,0.983951718763562,371.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5568199526746,0.983951718763562,380.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5589032860046,0.983951718763562,403.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5984866192746,0.983951718763562,333.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6109866192546,0.983951718763562,319.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6359866192146,0.983951718763562,328.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6380699525446,0.983951718763562,346.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6401532858746,0.983951718763562,354.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6484866191946,0.983951718763562,318.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6505699525246,0.983951718763562,292.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5714032859846,0.981868385433562,424.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5734866193146,0.981868385433562,455.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6380699525446,0.981868385433562,347.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6443199525346,0.981868385433562,328.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6526532858546,0.981868385433562,293.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5005699527646,0.979785052103562,391.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5214032860646,0.979785052103562,390.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5401532860346,0.979785052103562,412.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5484866193546,0.979785052103562,385.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6276532858946,0.979785052103562,300.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6964032857845,0.979785052103562,324.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.7026532857745,0.979785052103562,316.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.7089032857645,0.979785052103562,334.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5547366193446,0.977701718773562,386.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5714032859846,0.977701718773562,424.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5984866192746,0.977701718773562,312.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6359866192146,0.977701718773562,368.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.6818199524745,0.977701718773562,324.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.4901532861146,0.975618385443562,445.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5026532860946,0.975618385443562,399.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5401532860346,0.975618385443562,411.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
34.5547366193446,0.975618385443562,395.00000000,k_test,D:/r/KenyaDSM/data/soil_shp/k_test/k_test.shp
