ProfileID,LayerNr,ExCa,ExMg,ExNa,ExK,Country,loc_longitude,loc_latitude
KE SOTER_191/1-33,3.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,KE,39.170000,-3.100000
KE SOTER_191/1-42,3.000000,9.000000,4.500000,0.300000,1.200000,KE,39.080000,-3.230000
KE SOTER_191/3-43,3.000000,58.000000,11.500000,4.000000,0.900000,KE,39.100000,-3.370000
KE SOTER_192/1-16,3.000000,18.200000,1.000000,6.500000,0.700000,KE,39.530000,-3.220000
KE SOTER_192/2-104,3.000000,0.200000,0.000000,0.000000,0.100000,KE,39.900000,-3.220000
KE SOTER_192/2-111,3.000000,1.100000,1.500000,0.600000,0.100000,KE,39.980000,-3.240000
KE SOTER_192/3-75,3.000000,3.600000,3.000000,0.300000,0.400000,KE,39.690000,-3.490000
KE SOTER_192/3-77,3.000000,14.200000,13.000000,2.600000,0.300000,KE,39.580000,-3.270000
KE SOTER_192/3-94,3.000000,4.800000,5.000000,0.600000,0.300000,KE,39.510000,-3.420000
KE SOTER_192/4-129,3.000000,1.000000,0.400000,0.200000,0.500000,KE,39.750000,-3.470000
KE SOTER_192/4-2,3.000000,0.400000,0.100000,0.000000,0.000000,KE,39.940000,-3.320000
KE SOTER_192/4-3,3.000000,1.200000,0.600000,0.200000,0.100000,KE,39.920000,-3.350000
KE SOTER_196/1-17,3.000000,4.000000,3.300000,0.400000,1.400000,KE,38.750000,-3.500000
KE SOTER_196/1-26,3.000000,5.300000,2.000000,0.900000,0.900000,KE,38.520000,-3.680000
KE SOTER_197/2-13,3.000000,32.000000,18.500000,3.600000,0.200000,KE,39.470000,-3.550000
KE SOTER_197/4-101,3.000000,2.400000,3.600000,0.200000,0.100000,KE,39.480000,-3.820000
KE SOTER_198/1-81,3.000000,0.800000,0.000000,0.200000,0.200000,KE,39.550000,-3.730000
KE SOTER_198/3-8,3.000000,3.400000,0.500000,0.300000,0.100000,KE,39.720000,-3.780000
KE SOTER_198/4-6,3.000000,3.300000,1.500000,0.200000,0.200000,KE,39.770000,-3.950000
KE SOTER_200/1-328,3.000000,0.000000,0.700000,0.000000,0.100000,KE,39.220000,-4.220000
KE SOTER_200/1-330,3.000000,1.600000,4.500000,3.900000,0.600000,KE,39.200000,-4.200000
KE SOTER_200/1-649,3.000000,9.800000,15.000000,2.900000,3.000000,KE,39.020000,-4.110000
KE SOTER_200/1-650,3.000000,1.300000,2.400000,0.200000,0.200000,KE,39.250000,-4.160000
KE SOTER_200/1-651,3.000000,9.000000,12.000000,7.800000,0.400000,KE,39.150000,-4.130000
KE SOTER_200/2-728,3.000000,1.600000,3.000000,0.100000,0.200000,KE,39.270000,-4.120000
KE SOTER_200/2-729,3.000000,4.800000,12.800000,5.900000,0.400000,KE,39.250000,-4.100000
KE SOTER_200/3-415,3.000000,3.400000,3.300000,0.100000,0.300000,KE,39.150000,-4.450000
KE SOTER_200/4-1,3.000000,0.800000,0.200000,0.100000,0.000000,KE,39.480000,-4.320000
KE SOTER_200/4-165,3.000000,1.500000,0.700000,0.200000,0.200000,KE,39.450000,-4.370000
KE SOTER_200/4-167,3.000000,0.600000,0.200000,0.000000,0.100000,KE,39.370000,-4.330000
KE SOTER_200/4-326,3.000000,0.200000,0.200000,0.000000,0.000000,KE,39.250000,-4.270000
KE SOTER_200/4-369,3.000000,1.600000,1.500000,0.000000,0.200000,KE,39.280000,-4.430000
KE SOTER_200/4-402,3.000000,2.000000,1.600000,0.400000,0.100000,KE,39.370000,-4.330000
KE SOTER_202/1-275,3.000000,10.100000,12.000000,6.400000,0.500000,KE,39.600000,-4.230000
KE SOTER_202/1-277,3.000000,1.200000,7.200000,4.400000,2.300000,KE,39.250000,-4.020000
KE SOTER_202/2-76,3.000000,0.600000,0.100000,0.800000,0.500000,KE,39.380000,-4.530000
