"annual_precip","clay","h20cap_pf2_0","land_elevation","occ","ph20","silt","terrain_slope","wet_index","X","Y","mg"
1471.01342773438,23,19,2931,33,56,35,18,81,34.5151532860746,1.00686838539356,379
1507.84765625,24,20,3073,43,54,35,27,75,34.5214032860646,1.00686838539356,386
1968.23120117188,24,18,3238,31,60,36,23,79,34.5839032859646,1.00686838539356,353
1939.07470703125,25,18,3147,32,60,34,5,84,34.5880699526246,1.00686838539356,314
2037.27355957031,26,19,2980,27,56,32,7,82,34.6568199525146,1.00686838539356,268
1602.89074707031,21,20,2900,57,54,37,9,85,34.4922366194446,1.00478505206356,377
1527.00805664062,23,19,3008,32,54,35,8,81,34.5068199527546,1.00478505206356,354
2007.86181640625,26,19,2916,33,56,32,7,84,34.6484866191946,1.00478505206356,288
1527.00805664062,23,19,3008,32,54,35,8,81,34.5047366194246,1.00270171873356,378
1908.99096679688,26,18,3046,30,58,34,5,87,34.5984866192746,1.00270171873356,324
1964.42456054688,26,19,3083,33,58,34,9,93,34.6255699525646,1.00270171873356,268
1983.66357421875,27,19,3022,22,56,34,8,87,34.6276532858946,1.00270171873356,260
1983.66357421875,27,19,3022,22,56,34,8,87,34.6297366192246,1.00270171873356,272
2070.24780273438,27,19,2987,42,57,32,10,80,34.6651532858346,1.00270171873356,264
2089.22314453125,28,18,2970,39,55,31,24,78,34.6755699524846,1.00270171873356,267
1527.7099609375,23,20,2988,44,54,35,8,83,34.5047366194246,1.00061838540356,374
1908.08508300781,23,20,3151,21,60,37,6,88,34.5672366193246,1.00061838540356,285
2023.81323242188,26,19,2863,34,56,32,23,86,34.6568199525146,1.00061838540356,263
2059.67358398438,27,19,2906,42,54,32,21,83,34.6630699525046,1.00061838540356,262
1475.62622070312,23,20,2902,37,54,35,9,83,34.5151532860746,0.998535052073562,387
2023.81323242188,26,19,2863,34,56,32,23,86,34.6589032858446,0.998535052073562,254
1520.77697753906,24,20,3008,50,54,35,27,76,34.5193199527346,0.996451718743562,389
1866.76831054688,22,20,3137,19,60,36,10,84,34.5589032860046,0.996451718743562,290
1948.23315429688,25,19,3086,37,56,33,13,89,34.6109866192546,0.996451718743562,312
1948.23315429688,25,19,3086,37,56,33,13,89,34.6172366192446,0.996451718743562,279
1986.017578125,25,19,3035,29,56,33,15,91,34.6234866192346,0.996451718743562,282
1527.7099609375,23,20,2988,44,54,35,8,83,34.5068199527546,0.994368385413562,368
1520.77697753906,24,20,3008,50,54,35,27,76,34.5193199527346,0.994368385413562,395
1866.76831054688,22,20,3137,19,60,36,10,84,34.5547366193446,0.994368385413562,324
1921.36181640625,25,19,3106,26,58,33,19,90,34.5984866192746,0.994368385413562,267
1923.11791992188,26,18,2974,33,56,33,32,87,34.6047366192646,0.994368385413562,328
2099.10424804688,29,18,2838,29,54,30,14,80,34.6839032858045,0.994368385413562,255
1568.2705078125,24,19,2911,58,54,36,14,86,34.4984866194346,0.992285052083562,373
