"annual_precip","clay","occ","ph20","tree_cover","X","Y","k"
2107.34692382812,26,50,54,54,36.7047139574858,-0.849385776623102,360
2124.44799804688,27,44,52,62,36.719297166036,-0.849385776623102,296
2112.49682617188,31,46,50,70,36.7463802676294,-0.849385776623102,307
2104.72241210938,32,50,51,96,36.765130107194,-0.849385776623102,306
1975.24304199219,37,57,52,32,36.7963798398016,-0.849385776623102,760
1983.26501464844,39,33,61,11,36.6172147061843,-0.851469130659576,567
2003.36584472656,39,34,60,14,36.6234646527058,-0.851469130659576,569
2027.87219238281,34,48,59,18,36.6276312837202,-0.851469130659576,563
2027.87219238281,34,48,59,18,36.6297145992274,-0.851469130659576,549
2075.47680664062,31,53,57,60,36.6463811232848,-0.851469130659576,453
2082.44873046875,30,48,58,39,36.6672142783566,-0.851469130659576,402
2086.72705078125,29,50,58,43,36.6713809093709,-0.851469130659576,385
2086.72705078125,29,50,58,43,36.6734642248781,-0.851469130659576,364
2086.72705078125,29,50,58,43,36.6755475403853,-0.851469130659576,370
2094.953125,29,59,57,69,36.6817974869068,-0.851469130659576,387
2094.953125,29,59,57,69,36.683880802414,-0.851469130659576,383
2114.3662109375,26,47,53,60,36.7109639040073,-0.851469130659576,334
2112.49682617188,31,46,50,70,36.7484635831365,-0.851469130659576,310
2089.142578125,32,51,52,84,36.7734633692227,-0.851469130659576,719
2060.93896484375,32,54,54,38,36.7838799467586,-0.851469130659576,750
1975.24304199219,37,57,52,32,36.7942965242945,-0.851469130659576,758
2003.36584472656,39,34,60,14,36.6213813371987,-0.85355248469605,555
2075.47680664062,31,53,57,60,36.6463811232848,-0.85355248469605,483
2100.5595703125,28,53,55,54,36.6922140644427,-0.85355248469605,373
2104.17456054688,27,55,55,62,36.6963806954571,-0.85355248469605,366
2107.34692382812,26,50,54,54,36.7088805885002,-0.85355248469605,312
2119.16674804688,31,50,50,81,36.7401303211078,-0.85355248469605,372
2119.16674804688,31,50,50,81,36.742213636615,-0.85355248469605,344
2111.58447265625,33,50,50,97,36.7547135296581,-0.85355248469605,346
2104.72241210938,32,50,51,96,36.7609634761796,-0.85355248469605,298
2089.142578125,32,51,52,84,36.7692967382083,-0.85355248469605,329
2089.142578125,32,51,52,84,36.7713800537155,-0.85355248469605,453
2060.93896484375,32,54,54,38,36.7838799467586,-0.85355248469605,745
1975.24304199219,37,57,52,32,36.7963798398016,-0.85355248469605,795
1983.26501464844,39,33,61,11,36.6109647596628,-0.855635838732524,574
2003.36584472656,39,34,60,14,36.625547968213,-0.855635838732524,561
2027.87219238281,34,48,59,18,36.6276312837202,-0.855635838732524,542
2054.7119140625,32,53,60,48,36.6422144922704,-0.855635838732524,476
2082.44873046875,30,48,58,39,36.6651309628494,-0.855635838732524,368
2094.953125,29,59,57,69,36.6776308558925,-0.855635838732524,388
2107.34692382812,26,50,54,54,36.7047139574858,-0.855635838732524,288
2124.44799804688,27,44,52,62,36.719297166036,-0.855635838732524,301
2124.44799804688,27,44,52,62,36.7234637970504,-0.855635838732524,267
2127.67626953125,29,40,50,68,36.7276304280648,-0.855635838732524,265
2112.49682617188,31,46,50,70,36.7484635831365,-0.855635838732524,310
2104.72241210938,32,50,51,96,36.765130107194,-0.855635838732524,322
2018.62670898438,34,55,50,42,36.7880465777729,-0.855635838732524,749
2001.37512207031,38,35,60,21,36.625547968213,-0.857719192768998,591
2028.81494140625,34,48,60,29,36.6297145992274,-0.857719192768998,538
2085.55395507812,32,61,57,57,36.6505477542992,-0.857719192768998,433
2094.78247070312,29,47,60,49,36.6755475403853,-0.857719192768998,341
2104.12817382812,26,43,53,49,36.7047139574858,-0.857719192768998,283
2119.40502929688,27,44,52,67,36.719297166036,-0.857719192768998,284
2119.40502929688,27,44,52,67,36.7255471125576,-0.857719192768998,268
2118.99145507812,29,40,50,65,36.7297137435719,-0.857719192768998,263
2118.99145507812,29,40,50,65,36.7338803745863,-0.857719192768998,277
2091.12768554688,32,48,49,95,36.7672134227011,-0.857719192768998,333
2064.24975585938,33,46,54,92,36.777630000237,-0.857719192768998,738
2006.13330078125,36,41,55,31,36.7963798398016,-0.857719192768998,772
2100.32641601562,28,57,54,67,36.6922140644427,-0.859802546805473,364
2104.12817382812,26,43,53,49,36.7047139574858,-0.859802546805473,285
2112.19458007812,27,48,52,46,36.7130472195145,-0.859802546805473,276
2118.99145507812,29,40,50,65,36.7297137435719,-0.859802546805473,259
2108.33422851562,31,44,51,81,36.7401303211078,-0.859802546805473,269
2091.12768554688,32,48,49,95,36.7672134227011,-0.859802546805473,332
2037.73022460938,33,52,51,50,36.7859632622658,-0.859802546805473,727
2006.13330078125,36,41,55,31,36.7963798398016,-0.859802546805473,765
1959.24963378906,38,32,62,10,36.6067981286484,-0.861885900841947,595
1959.24963378906,38,32,62,10,36.6088814441556,-0.861885900841947,596
