"annual_precip","land_elevation","occ","ph20","temp_annual_range","tree_cover","X","Y","k"
774.701171875,1870,8,64,18.042013168335,8,36.2068015508031,0.106873726708074,773
783.033325195312,1789,10,63,18.0120124816895,7,36.2213847593593,0.106873726708074,711
730.484497070312,1771,10,64,17.9877300262451,11,36.2276347058834,0.106873726708074,812
709.058898925781,1930,19,62,17.9491558074951,14,36.279717593584,0.106873726708074,628
709.058898925781,1930,19,62,17.9491558074951,14,36.281800909092,0.106873726708074,629
693.121765136719,1537,9,67,18.0529270172119,0,36.1651352406426,0.104790372670807,737
774.701171875,1870,8,64,18.042013168335,8,36.2088848663111,0.104790372670807,762
783.033325195312,1789,10,63,18.0120124816895,7,36.2213847593593,0.104790372670807,701
783.033325195312,1789,10,63,18.0120124816895,7,36.2234680748673,0.104790372670807,746
730.484497070312,1771,10,64,17.9877300262451,11,36.2318013368994,0.104790372670807,743
703.182739257812,1768,8,64,17.9765338897705,4,36.2401345989315,0.104790372670807,751
685.349609375,1806,8,61,17.9655342102051,2,36.2526344919796,0.104790372670807,703
685.349609375,1806,8,61,17.9655342102051,2,36.2547178074877,0.104790372670807,701
714.935424804688,1532,7,68,18.0902442932129,3,36.1401354545464,0.10270701863354,722
693.121765136719,1537,9,67,18.0529270172119,0,36.1630519251346,0.10270701863354,727
693.121765136719,1537,9,67,18.0529270172119,0,36.1672185561507,0.10270701863354,752
651.970886230469,1585,7,69,18.0300178527832,0,36.1838850802149,0.10270701863354,689
774.701171875,1870,8,64,18.042013168335,8,36.2026349197871,0.10270701863354,758
685.349609375,1806,8,61,17.9655342102051,2,36.2588844385037,0.10270701863354,695
709.058898925781,1930,19,62,17.9491558074951,14,36.279717593584,0.10270701863354,606
641.943054199219,1594,8,65,18.0324630737305,16,36.1818017647068,0.100623664596273,741
641.943054199219,1594,8,65,18.0324630737305,16,36.1838850802149,0.100623664596273,711
668.954956054688,1631,8,66,18.0244140625,7,36.192218342247,0.100623664596273,774
803.104125976562,1885,9,66,18.0564861297607,10,36.2109681818192,0.100623664596273,721
803.104125976562,1885,9,66,18.0564861297607,10,36.2172181283432,0.100623664596273,665
701.046203613281,1796,9,63,17.9966201782227,2,36.2380512834235,0.100623664596273,763
701.046203613281,1796,9,63,17.9966201782227,2,36.2422179144395,0.100623664596273,738
690.431457519531,1798,7,64,17.987865447998,2,36.2463845454556,0.100623664596273,684
689.825744628906,1859,11,62,17.9923515319824,4,36.2609677540117,0.100623664596273,710
714.4326171875,1993,24,58,17.9747428894043,25,36.2755509625679,0.100623664596273,600
664.793518066406,1529,8,66,18.0548610687256,0,36.1630519251346,0.098540310559006,738
633.71533203125,1551,8,66,18.0428161621094,2,36.1713851871667,0.098540310559006,733
641.943054199219,1594,8,65,18.0324630737305,16,36.1797184491988,0.098540310559006,769
668.954956054688,1631,8,66,18.0244140625,7,36.192218342247,0.098540310559006,761
