"X","Y","k","annual_ppt","bareground","elevation","occ","ph20","slope","temp_annual_range","topo_pst_index","treecover","valley_depth","veg_index","wetness_index"
34.6589032858446,0.873535052273563,410,1969.23059082031,0,2285,26,54,5,17.59494972229,155,99,538,1494,80
34.7797366189845,0.873535052273563,360,1766.4619140625,2,1994,28,60,11,18.3233318328857,149,18,656,1169,90
35.0005699519644,0.871451718943563,301,1341.54040527344,6,1813,22,62,4,18.6665878295898,63,8,1092,1080,103
34.6797366191445,0.869368385613563,381,1815.68054199219,0,2101,24,57,10,17.8989543914795,-184,45,2398,1414,92
34.7130699524245,0.869368385613563,399,1830.49865722656,0,2119,25,56,9,18.0007724761963,14,96,2085,1152,88
34.4568199528346,0.867285052283563,389,1466.57348632812,0,2172,43,58,21,17.5989665985107,411,16,7769,1516,78
34.5797366193046,0.867285052283563,390,1724.41357421875,3,2251,40,59,16,17.5453968048096,-225,18,1170,1256,91
34.7547366190245,0.867285052283563,369,1821.27770996094,3,1998,27,58,11,18.2323226928711,-7,15,1282,1257,91
34.9714032853444,0.867285052283563,284,1151.13891601562,3,1744,20,60,5,18.7202472686768,-34,15,1419,1712,109
35.1047366184643,0.867285052283563,276,1116.36950683594,2,1784,23,59,2,18.6826839447021,-110,18,1229,1667,101
34.4734866194746,0.865201718953563,349,1564.51013183594,0,2173,29,55,21,17.516284942627,-60,98,6274,1506,84
35.0047366186244,0.865201718953563,251,1335.49523925781,1,1788,21,60,4,18.6771926879883,-3,19,1145,1114,103
34.4922366194446,0.863118385623563,321,1787.62634277344,0,2289,27,52,17,17.4070358276367,-17,97,5000,2349,89
34.9964032853044,0.861035052293563,317,1351.80932617188,7,1817,21,61,2,18.6657543182373,95,7,1051,1350,107
35.0776532851743,0.861035052293563,400,1377.94287109375,8,1849,23,62,3,18.627571105957,39,8,642,1370,107
34.9797366186644,0.858951718963563,233,1204.79113769531,2,1754,19,60,1,18.6995506286621,-84,27,1388,1818,106
35.1089032851243,0.856868385633563,313,1149.20971679688,4,1823,21,57,16,18.6482219696045,-91,12,884,1953,100
34.5589032860046,0.854785052303563,412,1947.56115722656,3,2234,44,57,13,17.5299377441406,-258,19,1911,1908,90
35.0339032852444,0.854785052303563,280,1168.91052246094,6,1783,23,58,3,18.6973857879639,-61,11,1216,1509,103
35.0484866185544,0.854785052303563,302,1211.271484375,0,1794,22,58,1,18.672212600708,-126,23,1143,1359,102
35.0651532851944,0.854785052303563,310,1261.0810546875,3,1818,18,59,5,18.6576728820801,-128,14,883,1495,102
34.4255699528847,0.852701718973563,324,1193.02026367188,1,1490,22,58,7,17.8485813140869,-190,39,13053,1899,92
34.4255699528847,0.850618385643563,288,1193.02026367188,1,1490,22,58,7,17.8485813140869,-190,39,13053,1899,92
34.6089032859246,0.850618385643563,411,1861.04809570312,3,2188,40,59,9,17.6973609924316,61,15,1037,1405,88
34.6484866191946,0.850618385643563,455,1790.08447265625,0,2077,31,61,22,17.885232925415,-290,34,1883,1753,87
35.0464032852244,0.850618385643563,306,1211.271484375,0,1794,22,58,1,18.672212600708,-126,23,1143,1359,102
35.0568199518744,0.850618385643563,304,1235.89489746094,1,1805,23,59,5,18.6654453277588,-123,17,1008,1550,102
34.4693199528146,0.848535052313563,366,1341.17858886719,2,1836,35,57,12,17.9163608551025,-209,24,8020,1846,81
34.5193199527346,0.848535052313563,364,1586.14025878906,0,2169,27,53,13,17.6673202514648,163,98,3740,1452,90
34.5964032859446,0.848535052313563,414,1857.99084472656,1,2179,44,60,12,17.7362327575684,166,20,1184,1469,92
34.5464032860246,0.846451718983563,400,1994.98669433594,0,2283,45,59,4,17.468599319458,207,51,1115,1999,86
34.6130699525846,0.846451718983563,402,1791.66528320312,3,2083,39,58,14,17.8504161834717,-226,18,2006,1560,87
34.9880699519844,0.846451718983563,288,1415.25354003906,5,1809,15,59,4,18.654712677002,1,13,936,1472,103
34.5276532860546,0.844368385653563,360,1512.486328125,0,2044,33,58,6,17.6793937683105,-246,85,4569,1360,90
34.5547366193446,0.844368385653563,375,1997.80456542969,0,2209,46,58,19,17.523006439209,84,24,1373,2318,86
34.7005699524445,0.844368385653563,307,1816.55603027344,1,1976,31,60,3,18.1862907409668,-52,31,2439,2199,93
34.5359866193746,0.842285052323563,403,1612.70361328125,0,2181,44,58,17,17.6224956512451,-220,34,2867,1364,84
34.6672366191645,0.842285052323563,383,1817.36206054688,6,2068,37,60,12,18.0085926055908,51,16,927,1391,88
34.9714032853444,0.842285052323563,283,1372.14855957031,0,1788,17,59,3,18.6571865081787,-37,47,944,1403,102
34.4547366195047,0.840201718993563,263,1251.97277832031,1,1659,29,57,8,17.9296932220459,-115,20,8296,1384,84
34.5714032859846,0.840201718993563,425,1919.49926757812,0,2177,49,59,15,17.7010593414307,272,26,1358,1965,95
34.5734866193146,0.840201718993563,392,1919.49926757812,0,2177,49,59,15,17.7010593414307,272,26,1358,1965,95
34.6505699525246,0.840201718993563,397,1783.97302246094,3,2019,35,60,11,18.0456352233887,-127,28,1790,1829,88
34.6589032858446,0.840201718993563,398,1743.59497070312,3,2003,30,60,10,18.0930976867676,-93,24,1900,2047,89
35.0276532852544,0.840201718993563,295,1230.74584960938,1,1771,20,60,4,18.6995697021484,-51,21,1304,1193,103
34.7339032857245,0.838118385663563,278,1644.93115234375,0,1774,29,59,25,18.4618091583252,-346,48,3778,1706,89
34.4172366195647,0.836035052333563,240,1215.11389160156,2,1435,12,58,3,17.8101196289062,-81,11,9540,2593,101
34.4318199528747,0.836035052333563,227,1156.05603027344,1,1531,16,57,12,17.8236408233643,52,18,9612,1675,96
34.4401532861947,0.836035052333563,265,1166.52258300781,1,1563,22,57,7,17.8446254730225,132,22,8887,1699,94
34.7276532857345,0.836035052333563,269,1694.30871582031,0,1827,37,58,17,18.3922748565674,60,29,3270,1518,90
34.7776532856545,0.836035052333563,371,1313.87451171875,0,1702,18,60,2,18.5726337432861,-115,39,3298,1957,97
34.4984866194346,0.833951719003563,363,1773.82165527344,0,2126,41,59,18,17.6127090454102,405,18,3570,2444,76
34.5797366193046,0.833951719003563,391,1855.89440917969,0,2046,50,58,5,17.7856540679932,-233,38,2455,1796,92
34.7464032857045,0.833951719003563,259,1548.97827148438,7,1744,21,60,4,18.5187339782715,-180,12,3462,1662,91
34.4880699527846,0.831868385673563,316,1651.56909179688,2,2070,46,58,26,17.7806072235107,385,26,4438,2414,72
34.5214032860646,0.831868385673563,397,1387.70397949219,0,1835,42,58,27,17.94482421875,-443,16,4862,1598,87
34.6547366191846,0.831868385673563,332,1731.83642578125,1,1932,33,59,13,18.1604518890381,-76,19,2076,2150,88
34.9776532853344,0.831868385673563,272,1375.94653320312,1,1808,13,57,7,18.6681957244873,99,13,495,1417,95
34.6151532859146,0.829785052343563,327,1766.4443359375,0,1996,44,58,13,18.0211620330811,121,33,2195,1632,85
