"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1683,17,59,3,96,34.9130699521044,0.623535052673564,278
1326,9,58,3,111,34.3880699529447,0.619368386013564,209
1493,15,57,4,97,34.5651532859946,0.619368386013564,161
1341,10,57,4,101,34.4672366194846,0.617285052683564,292
1682,18,58,9,89,34.8818199521544,0.617285052683564,238
1460,18,55,6,99,34.5609866193346,0.615201719353564,170
1636,18,56,8,99,34.7797366189845,0.613118386023564,187
1685,18,59,7,99,34.9505699520444,0.611035052693564,274
1301,9,58,3,109,34.4422366195247,0.608951719363564,313
1443,19,56,4,102,34.5672366193246,0.606868386033564,172
1565,16,59,2,106,34.8276532855745,0.606868386033564,212
1466,16,58,2,112,34.7193199524145,0.604785052703564,237
1301,9,58,3,109,34.4422366195247,0.602701719373564,296
1296,10,56,3,112,34.4443199528547,0.600618386043564,288
1443,15,61,3,111,34.6901532857945,0.600618386043564,260
1576,16,58,6,102,34.8526532855345,0.600618386043564,245
1575,20,56,12,91,34.7880699523045,0.598535052713564,233
1623,16,58,5,93,34.8859866188144,0.598535052713564,261
1677,18,58,12,88,34.8880699521444,0.598535052713564,255
1294,12,58,1,107,34.4547366195047,0.596451719383564,328
1480,17,57,2,110,34.6484866191946,0.596451719383564,190
1458,16,58,1,113,34.7172366190845,0.596451719383564,233
1575,20,56,12,91,34.7922366189645,0.594368386053564,248
1677,16,57,14,90,34.8714032855044,0.594368386053564,264
1768,21,59,3,93,34.9172366187644,0.594368386053564,257
1587,16,58,3,93,34.8818199521544,0.592285052723564,282
1461,15,56,4,111,34.6526532858546,0.588118386063564,182
1435,20,60,1,113,34.6859866191345,0.588118386063564,273
1512,18,56,5,101,34.8172366189245,0.586035052733564,227
1308,13,56,3,110,34.4734866194746,0.583951719403564,226
1452,15,56,2,100,34.8026532856145,0.579785052743564,212
1270,13,58,2,117,34.3901532862747,0.577701719413564,268
1576,14,58,5,100,34.8672366188445,0.577701719413564,279
1480,18,58,3,110,34.6318199525546,0.575618386083564,168
1489,15,58,1,109,34.7568199523545,0.567285052763564,187
1459,17,57,3,111,34.6630699525046,0.565201719433564,203
1420,16,54,2,105,34.5484866193546,0.563118386103564,176
