"X","Y","mg","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.1255699517643,0.77978505242357,315,1131.39831542969,47,28,1830,19,58,34,20,18.6632843017578,4,-109,1644,107
35.0984866184743,0.77770171909357,313,1119.21228027344,46,27,1810,15,58,34,20,18.6910552978516,3,4,1710,109
35.1130699517843,0.77770171909357,340,1122.95654296875,47,28,1807,18,59,33,20,18.6767845153809,2,-140,1849,107
35.1026532851343,0.77561838576357,308,1156.0400390625,45,27,1848,16,58,35,20,18.6564846038818,5,21,1560,106
35.0693199518544,0.77353505243357,308,1086.72180175781,45,27,1768,22,60,35,20,18.7307415008545,3,-39,1908,106
35.0797366185043,0.77353505243357,296,1100.1279296875,44,27,1797,18,58,36,20,18.7063636779785,3,39,1714,105
35.0839032851643,0.77353505243357,286,1100.1279296875,44,27,1797,18,58,36,20,18.7063636779785,3,39,1714,105
35.1089032851243,0.77353505243357,321,1156.0400390625,45,27,1848,16,58,35,20,18.6564846038818,5,21,1560,106
35.1297366184243,0.77353505243357,343,1178.34936523438,46,27,1873,19,57,34,20,18.631628036499,6,-23,1646,106
35.1422366184043,0.76936838577357,380,1164.03540039062,46,27,1869,19,58,33,21,18.6301612854004,1,-26,1574,113
35.1297366184243,0.76728505244357,334,1225.20568847656,47,28,1900,20,58,32,20,18.6134223937988,2,51,1418,109
35.0651532851944,0.76520171911357,300,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0818199518343,0.76520171911357,333,1090.13122558594,43,26,1799,21,58,37,20,18.7091217041016,11,7,1756,100
35.1214032851043,0.76520171911357,337,1236.67492675781,47,28,1895,20,58,33,20,18.613109588623,5,78,1347,108
35.1193199517743,0.76311838578357,351,1236.67492675781,47,28,1895,20,58,33,20,18.613109588623,5,78,1347,108
35.1214032851043,0.76311838578357,344,1236.67492675781,47,28,1895,20,58,33,20,18.613109588623,5,78,1347,108
35.0505699518844,0.76103505245357,329,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1047366184643,0.76103505245357,378,1177.16345214844,46,27,1872,17,60,34,20,18.6365947723389,5,54,1427,106
35.1130699517843,0.76103505245357,358,1213.31469726562,47,28,1876,18,59,33,20,18.6229400634766,4,9,1437,109
35.1234866184343,0.76103505245357,370,1236.67492675781,47,28,1895,20,58,33,20,18.613109588623,5,78,1347,108
35.0568199518744,0.75895171912357,335,1117.05700683594,47,28,1750,17,58,32,21,18.7281875610352,3,-55,1991,102
35.0943199518143,0.75895171912357,318,1129.31372070312,46,27,1841,22,60,33,20,18.6628112792969,5,-50,1553,103
35.1234866184343,0.75895171912357,389,1257.72631835938,47,28,1922,20,59,33,20,18.6036548614502,2,86,1179,113
35.0755699518444,0.75686838579357,315,1089.50109863281,46,27,1763,23,59,34,20,18.7205638885498,7,-8,2024,105
34.9714032853444,0.75478505246357,310,0,0,0,0,0,0,0,0,0,0,0,0,0
