"X","Y","k","annual_precip","clay","h20_cap","land_elevation","occ","ph20","sand","silt","temp_annual_range","terrain_slope","topo_pst_index","valley_depth","wet_index"
35.1005699518043,0.81728505236357,396,1244.763671875,47,27,1837,17,60,33,20,18.657995223999,3,71,1005,111
35.1068199517943,0.81728505236357,370,1168.15112304688,47,28,1810,17,58,32,20,18.6777610778809,3,-51,1366,110
35.0589032852044,0.81520171903357,351,1136.27172851562,49,28,1783,16,60,31,20,18.7077865600586,3,-8,1267,107
35.1401532850743,0.81520171903357,354,1111.90246582031,46,28,1855,21,58,33,20,18.6445217132568,4,14,1000,110
35.0609866185344,0.81103505237357,346,1153.09106445312,48,28,1810,16,60,32,19,18.691499710083,3,42,1185,107
35.0922366184843,0.81103505237357,402,1274.39208984375,48,28,1853,15,59,33,19,18.6545467376709,4,65,905,108
35.1318199517543,0.81103505237357,354,1109.21496582031,46,27,1825,22,62,34,20,18.656322479248,4,-72,1363,111
35.1443199517343,0.81103505237357,394,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0693199518544,0.80895171904357,333,1159.74499511719,47,27,1809,15,59,33,20,18.694242477417,3,48,1255,108
35.0839032851643,0.80895171904357,377,1184.93041992188,48,27,1814,16,60,33,19,18.6848030090332,2,18,1238,110
35.0984866184743,0.80895171904357,427,1184.63598632812,46,27,1832,15,58,34,20,18.6775779724121,3,112,1078,111
35.1380699517443,0.80895171904357,371,1113.18737792969,46,27,1847,20,58,35,20,18.6465644836426,4,-43,1364,111
35.0984866184743,0.80686838571357,421,1184.63598632812,46,27,1832,15,58,34,20,18.6775779724121,3,112,1078,111
35.1214032851043,0.80686838571357,382,1099.17272949219,46,28,1834,17,57,34,20,18.6744194030762,4,40,1354,108
35.0734866185144,0.80478505238357,386,1159.74499511719,47,27,1809,15,59,33,20,18.694242477417,3,48,1255,108
35.0755699518444,0.80270171905357,373,1159.74499511719,47,27,1809,15,59,33,20,18.694242477417,3,48,1255,108
35.1047366184643,0.80270171905357,432,1134.05480957031,46,28,1808,15,57,33,21,18.6915111541748,3,-13,1398,110
35.1026532851343,0.79853505239357,465,1106.31042480469,46,28,1778,16,59,34,20,18.7026271820068,3,-136,1745,113
35.0797366185043,0.79645171906357,423,1137.61901855469,47,27,1804,15,58,33,20,18.7043304443359,3,70,1374,111
35.1089032851243,0.79645171906357,463,1106.31042480469,46,28,1778,16,59,34,20,18.7026271820068,3,-136,1745,113
35.1318199517543,0.79645171906357,428,1116.24792480469,46,27,1852,16,59,34,20,18.6542358398438,3,22,1395,111
35.0651532851944,0.79228505240357,389,1161.85241699219,46,28,1756,16,61,33,21,18.7240123748779,4,-61,1675,106
35.1318199517543,0.79228505240357,447,1127.57238769531,46,28,1857,19,59,34,20,18.64892578125,4,14,1517,110
35.0755699518444,0.79020171907357,446,1112.560546875,46,28,1776,16,60,33,21,18.7269706726074,3,-8,1720,109
35.1005699518043,0.79020171907357,438,1108.52368164062,47,28,1786,17,60,33,20,18.7029762268066,5,-54,1906,111
35.0901532851543,0.78811838574357,460,1109.58959960938,47,28,1771,17,62,32,20,18.71435546875,4,-106,1942,110
35.0693199518544,0.78603505241357,434,1112.560546875,46,28,1776,16,60,33,21,18.7269706726074,3,-8,1720,109
35.0901532851543,0.78603505241357,433,1109.58959960938,47,28,1771,17,62,32,20,18.71435546875,4,-106,1942,110
35.1005699518043,0.78603505241357,436,1108.52368164062,47,28,1786,17,60,33,20,18.7029762268066,5,-54,1906,111
35.1089032851243,0.78603505241357,450,1103.19909667969,47,28,1789,18,63,33,20,18.6956443786621,3,-72,1901,110
35.1359866184143,0.78603505241357,409,1133.12060546875,46,28,1850,16,59,33,20,18.6420040130615,2,-27,1556,112
35.0755699518444,0.78395171908357,403,1101.6689453125,45,28,1758,17,59,34,20,18.7309398651123,5,-89,1979,108
35.0922366184843,0.78395171908357,439,1111.59545898438,47,28,1782,15,58,33,21,18.7026805877686,2,-66,1886,108
