"annual_ppt","elevation","occ","slope","temp_annual_range","treecover","wetness_index","X","Y","k"
1282.93395996094,1689,22,4,18.7231311798096,8,94,34.9922366186444,0.740201719153563,345
1159.18859863281,1673,23,5,18.7351531982422,13,98,34.9984866186344,0.740201719153563,319
1145.07885742188,1380,10,3,17.6974277496338,15,99,34.4589032861646,0.738118385823563,203
1321.85388183594,1605,19,5,18.4862823486328,22,111,34.7964032856245,0.738118385823563,185
1334.12341308594,1705,22,4,18.706880569458,23,94,34.9734866186744,0.738118385823563,237
1334.12341308594,1705,22,4,18.706880569458,23,94,34.9755699520044,0.738118385823563,244
1055.75476074219,1690,18,7,18.751880645752,15,96,35.0297366185844,0.738118385823563,268
1262.23449707031,1683,16,4,18.6050682067871,10,103,34.8651532855145,0.736035052493563,216
1187.54699707031,1917,18,5,18.6146259307861,5,111,35.1401532850743,0.736035052493563,429
1321.83581542969,1514,18,3,18.1447563171387,21,102,34.6484866191946,0.733951719163563,109
1586.49487304688,1572,16,3,18.0308494567871,25,105,34.6026532859346,0.731868385833563,117
1595.61511230469,1669,18,4,18.4416732788086,20,116,34.7651532856745,0.731868385833563,184
1186.75805664062,1376,9,3,17.6488304138184,11,106,34.4380699528647,0.729785052503563,184
1300.36926269531,1554,17,13,17.6957702636719,13,92,34.4859866194546,0.729785052503563,155
1076.71813964844,1737,17,3,18.7459812164307,11,102,35.0214032852644,0.727701719173563,333
1186.75805664062,1376,9,3,17.6488304138184,11,106,34.4422366195247,0.725618385843563,218
1441.71508789062,1658,17,5,18.4053115844727,20,109,34.7484866190345,0.725618385843563,144
1164.65222167969,1640,14,4,18.5479793548584,16,109,34.8443199522145,0.725618385843563,213
1161.34948730469,1894,22,3,18.6241779327393,27,110,35.1443199517343,0.725618385843563,441
1545.44848632812,1549,16,2,18.1090087890625,18,114,34.6380699525446,0.723535052513563,127
1136.697265625,1508,16,4,18.1892433166504,20,106,34.6797366191445,0.723535052513563,116
1350.43713378906,1526,14,4,17.8779602050781,33,92,34.5609866193346,0.721451719183563,168
1218.25622558594,1607,14,3,18.281810760498,23,109,34.7068199524345,0.721451719183563,130
1181.39318847656,1856,33,7,18.6496391296387,58,99,35.0526532852144,0.721451719183563,302
1284.62145996094,1884,23,2,18.6216678619385,13,107,35.0589032852044,0.721451719183563,326
1296.84497070312,1885,21,3,18.6252918243408,21,108,35.0734866185144,0.721451719183563,384
1264.13598632812,1627,15,4,18.3656234741211,19,108,34.7401532857145,0.719368385853563,179
1221.5166015625,1849,24,3,18.6405029296875,6,110,35.0859866184943,0.719368385853563,379
1420.40148925781,1524,12,6,17.7730255126953,9,91,34.5255699527246,0.717285052523563,149
1183.52954101562,1507,16,4,18.1686534881592,32,110,34.6776532858145,0.717285052523563,118
1136.697265625,1508,16,4,18.1892433166504,20,106,34.6839032858045,0.717285052523563,132
